,date_mutation,valeur_fonciere,surface_reelle_bati,type_local,longitude,latitude
816,2017-08-11,500000,35,Appartement,3.08814,50.631997
817,2017-08-11,500000,35,Appartement,3.08814,50.631997
818,2017-08-11,500000,43,Appartement,3.08814,50.631997
819,2017-08-11,500000,60,Appartement,3.08814,50.631997
821,2017-08-11,500000,49,Appartement,3.08814,50.631997
822,2017-08-11,500000,49,Appartement,3.08814,50.631997
823,2017-08-11,500000,52,Appartement,3.08814,50.631997
824,2017-07-18,159000,67,Appartement,3.061703,50.618361
825,2017-07-18,159000,69,Appartement,3.061703,50.618361
828,2017-08-01,72700,18,Appartement,3.06034,50.646468
829,2017-07-17,108000,29,Appartement,3.045393,50.625982
830,2017-08-04,69000,28,Appartement,3.067656,50.619831
832,2017-07-28,123000,16,Appartement,3.04776,50.630099
833,2017-07-28,123000,19,Appartement,3.04776,50.630099
836,2017-08-04,170000,36,Appartement,3.055264,50.640019
837,2017-07-26,125000,29,Appartement,3.056806,50.636907
