,rowid,date_mutation,longitude,latitude
14999,32492,2020-01-30,3.054233,50.623975
15000,32494,2020-01-30,3.090955,50.631911
15001,32495,2020-01-30,3.090955,50.631911
15002,32496,2020-01-30,3.090955,50.631911
15003,32497,2020-01-30,3.055515,50.647329
15004,32503,2020-02-05,3.105723,50.627778
15005,32506,2020-01-30,3.090331,50.632496
15006,32507,2020-02-13,3.098002,50.631754
15007,32509,2020-01-23,3.075192,50.63467
15008,32511,2020-02-15,3.084078,50.641008
15009,32513,2020-02-04,3.066671,50.625342
15010,32518,2020-02-03,3.032129,50.626171
15011,32520,2020-01-21,3.046707,50.631837
15012,32522,2020-01-30,3.061631,50.618704
15013,32526,2020-01-16,3.088009,50.653388
15014,32530,2020-02-13,3.072681,50.621751
15015,32532,2020-02-07,3.064189,50.631512
15016,32533,2020-01-29,3.092144,50.644033
15017,32537,2020-02-11,3.089053,50.650643
15018,32543,2020-01-23,3.067541,50.632793
15019,32544,2020-01-31,3.061685,50.629904
15020,32546,2020-01-24,3.03373,50.627021
15021,32549,2020-01-24,3.055989,50.631781
15022,32551,2020-02-05,3.046762,50.625028
15023,32552,2020-02-03,3.055515,50.647329
15024,32554,2020-01-31,3.059473,50.619729
15025,32555,2020-01-31,3.059473,50.619729
15026,32556,2020-01-31,3.059273,50.630548
15027,32558,2020-01-27,3.049811,50.630683
15028,32562,2020-01-21,3.052829,50.626117
15029,32563,2020-01-29,3.043809,50.622586
15030,32564,2020-02-07,3.032087,50.635547
15031,32568,2020-01-27,3.042885,50.620786
15032,32569,2020-02-13,3.045965,50.625667
15033,32570,2020-02-14,3.024504,50.631683
15034,32575,2020-02-14,3.059378,50.643648
15035,32576,2020-02-11,3.071632,50.633314
15036,32579,2020-02-13,3.073652,50.620153
15037,32580,2020-02-19,3.0564,50.620817
15038,32582,2020-01-27,3.058198,50.607109
15039,32583,2020-02-19,3.114637,50.634863
15040,32585,2020-02-19,3.114637,50.634863
15041,32586,2020-02-04,3.062601,50.634486
15042,32588,2020-02-04,3.085038,50.65073
15043,32590,2020-02-12,3.05016,50.626865
15044,32595,2020-02-12,3.075292,50.637407
15045,32596,2020-02-03,3.062039,50.629028
15046,32599,2020-02-18,3.057828,50.647254
15047,32601,2020-01-06,3.025651,50.631416
15048,32604,2020-02-05,3.04475,50.621677
15049,32605,2020-02-14,3.053217,50.636145
15050,32606,2020-02-07,3.059666,50.648226
15051,32611,2020-02-03,3.049728,50.619028
15052,32612,2020-02-03,3.049728,50.619028
15053,32613,2020-02-03,3.049728,50.619028
15054,32614,2020-02-03,3.049728,50.619028
15055,32615,2020-02-03,3.049728,50.619028
15056,32617,2020-02-03,3.049728,50.619028
15057,32618,2020-02-03,3.049728,50.619028
15058,32619,2020-02-03,3.049728,50.619028
15059,32620,2020-02-03,3.049728,50.619028
15060,32621,2020-02-19,3.114637,50.634863
15061,32623,2020-02-19,3.114637,50.634863
15062,32624,2020-02-12,3.068037,50.625281
15063,32625,2020-02-17,3.061433,50.637685
15064,32628,2020-02-14,3.073537,50.620595
15065,32630,2020-02-14,3.044381,50.626486
15066,32632,2020-02-14,3.060061,50.620912
15067,32636,2020-02-17,3.061908,50.648026
15068,32642,2020-01-29,3.054796,50.63446
15069,32643,2020-02-04,3.054196,50.619443
15070,32645,2020-02-19,3.018362,50.63506
15071,32648,2020-02-05,3.060979,50.611545
15072,32650,2020-02-19,3.06549,50.612929
15073,32651,2020-02-14,3.042188,50.62122
15074,32653,2020-02-14,3.042188,50.62122
15075,32654,2020-02-14,3.042188,50.62122
15076,32657,2020-02-19,3.06549,50.612929
15077,32658,2020-02-10,3.073652,50.620153
15078,32661,2020-02-06,3.071468,50.622189
