,rowid,longitude,latitude
692,7240,3.112576,50.626977
693,7246,3.099566,50.627609
694,7269,3.112551,50.632854
695,7297,3.072767,50.617583
696,7298,3.026445,50.629537
697,7311,3.092476,50.634183
698,7322,3.041278,50.624718
699,7329,3.093122,50.648871
700,7333,3.036647,50.625781
701,7340,3.089634,50.649579
702,7345,3.10737,50.633234
703,7348,3.09624,50.632735
704,7362,3.111924,50.634548
705,7425,3.042919,50.608381
706,7432,3.087778,50.647752
707,7448,3.018865,50.635702
708,7470,3.097233,50.632735
709,7471,3.097548,50.632795
710,7472,3.097621,50.632834
711,7473,3.097716,50.632834
712,7474,3.097032,50.632931
713,7475,3.096949,50.63308
714,7564,3.05854,50.622531
715,7569,3.092383,50.649361
716,7585,3.058918,50.624738
717,7589,3.110469,50.625942
718,7594,3.057131,50.640119
719,7613,3.097141,50.622771
720,7621,3.08837,50.65447
721,7624,3.098539,50.624883
722,7626,3.098906,50.621343
723,7630,3.107731,50.631111
724,7634,3.030471,50.623722
725,7638,3.090071,50.632203
726,7641,3.085261,50.641426
727,7644,3.097151,50.625286
728,7655,3.112334,50.62489
729,7659,3.087926,50.617571
730,7664,3.098907,50.621615
731,7665,3.054077,50.620213
732,7709,3.042279,50.621449
733,7712,3.051057,50.634897
734,7713,3.072015,50.618968
735,7744,3.110827,50.624797
736,7750,3.094053,50.622124
737,7770,3.052292,50.632354
738,7780,3.055371,50.645972
739,7788,3.087637,50.637624
740,7797,3.113348,50.624622
741,7815,3.096701,50.623109
742,7817,3.111258,50.631785
743,7830,3.042899,50.613018
744,7833,3.117556,50.628665
745,7834,3.106662,50.63158
746,7835,3.097687,50.631015
747,7846,3.042534,50.622285
748,7847,3.043901,50.609283
749,7848,3.101065,50.619883
750,7862,3.027774,50.615424
751,7922,3.102161,50.627714
752,7925,3.069837,50.63571
753,7936,3.115571,50.633431
754,7938,3.098525,50.621405
755,7949,3.051006,50.634853
756,7954,3.02175,50.634341
757,7957,3.030014,50.615969
758,7959,3.087145,50.64236
759,7960,3.027693,50.630598
760,7962,3.018638,50.635692
761,7976,3.090384,50.649046
762,7992,3.028391,50.631803
763,8001,3.085503,50.638453
764,8013,3.122419,50.624652
765,8015,3.097661,50.621719
766,8024,3.041044,50.622987
767,8028,3.056236,50.606065
768,8030,3.065309,50.633519
769,8034,3.052708,50.646161
770,8044,3.08847,50.655812
771,8055,3.045964,50.628654
772,8075,3.043915,50.608648
773,8081,3.04271,50.621127
774,8083,3.064613,50.623987
775,8084,3.043962,50.621511
776,8102,3.058896,50.622151
777,8124,3.044304,50.612267
778,8153,3.075016,50.618897
779,8156,3.103336,50.629429
780,8172,3.074808,50.623459
781,8178,3.033202,50.624826
782,8190,3.043727,50.62137
783,8214,3.026193,50.631945
784,8236,3.102928,50.632618
785,8243,3.112645,50.628358
786,8246,3.020985,50.635418
787,8266,3.04748,50.614263
788,8276,3.024188,50.635611
789,8288,3.102377,50.623022
790,8292,3.099792,50.634064
791,8299,3.111427,50.633107
792,8300,3.096996,50.634731
793,8307,3.110842,50.625456
794,8327,3.113122,50.624856
795,8329,3.11155,50.630015
796,8345,3.053508,50.628451
797,8349,3.055373,50.619672
798,8350,3.058712,50.622509
799,8351,3.022644,50.635645
800,8352,3.055159,50.645151
801,8363,3.056667,50.623743
802,8370,3.071845,50.613434
803,8388,3.071806,50.61897
804,8389,3.058844,50.625771
805,8392,3.055641,50.642253
806,8399,3.086403,50.643436
807,8413,3.045803,50.620904
808,8414,3.090984,50.629212
809,8419,3.089705,50.654482
810,8435,3.037299,50.629479
811,8441,3.100947,50.631247
812,8488,3.08919,50.638711
813,8506,3.105128,50.631774
814,8512,3.04502,50.612907
815,8527,3.027533,50.616707
816,8529,3.097118,50.620796
817,8530,3.087529,50.654854
818,8559,3.088113,50.654442
819,8561,3.028599,50.615626
820,8570,3.101843,50.619922
821,8591,3.109875,50.629724
822,8600,3.041593,50.633103
823,8601,3.084634,50.639999
824,8647,3.072667,50.611987
825,8675,3.118332,50.625178
826,8676,3.118332,50.625178
827,8682,3.044,50.608741
828,8691,3.064581,50.623823
829,8728,3.089116,50.647796
830,8742,3.054738,50.635262
831,8745,3.089601,50.652907
